UF;Localização;Ano;Produção de gás natural (milhões m3)
Amazonas;Terra;2009;3780,2
Maranhão;Terra;2009;0,0
Ceará;Terra;2009;0,6
Ceará;Mar;2009;55,5
Rio Grande do Norte;Terra;2009;273,0
Rio Grande do Norte;Mar;2009;488,1
Alagoas;Terra;2009;618,0
Alagoas;Mar;2009;124,4
Sergipe;Terra;2009;92,5
Sergipe;Mar;2009;863,6
Bahia;Terra;2009;1172,3
Bahia;Mar;2009;1881,1
Espírito Santo;Terra;2009;108,5
Espírito Santo;Mar;2009;967,9
Rio de Janeiro;Mar;2009;10497,2
São Paulo;Mar;2009;218,4
Amazonas;Terra;2010;3857,9
Maranhão;Terra;2010;0,0
Ceará;Terra;2010;0,5
Ceará;Mar;2010;42,1
Rio Grande do Norte;Terra;2010;269,5
Rio Grande do Norte;Mar;2010;419,4
Alagoas;Terra;2010;564,5
Alagoas;Mar;2010;108,2
Sergipe;Terra;2010;94,7
Sergipe;Mar;2010;1007,1
Bahia;Terra;2010;1138,3
Bahia;Mar;2010;2261,1
Espírito Santo;Terra;2010;98,7
Espírito Santo;Mar;2010;2602,4
Rio de Janeiro;Mar;2010;10132,2
São Paulo;Mar;2010;342,0
Amazonas;Terra;2011;4161,2
Maranhão;Terra;2011;0,0
Ceará;Terra;2011;0,5
Ceará;Mar;2011;30,7
Rio Grande do Norte;Terra;2011;272,1
Rio Grande do Norte;Mar;2011;362,4
Alagoas;Terra;2011;462,7
Alagoas;Mar;2011;100,4
Sergipe;Terra;2011;101,9
Sergipe;Mar;2011;999,2
Bahia;Terra;2011;1057,5
Bahia;Mar;2011;1500,2
Espírito Santo;Terra;2011;91,8
Espírito Santo;Mar;2011;4240,3
Rio de Janeiro;Mar;2011;9386,9
São Paulo;Mar;2011;1305,8
Amazonas;Terra;2012;4188,3
Maranhão;Terra;2012;0,4
Ceará;Terra;2012;0,4
Ceará;Mar;2012;27,2
Rio Grande do Norte;Terra;2012;258,1
Rio Grande do Norte;Mar;2012;305,1
Alagoas;Terra;2012;508,5
Alagoas;Mar;2012;53,2
Sergipe;Terra;2012;102,8
Sergipe;Mar;2012;927,0
Bahia;Terra;2012;970,8
Bahia;Mar;2012;2245,9
Espírito Santo;Terra;2012;93,6
Espírito Santo;Mar;2012;3814,3
Rio de Janeiro;Mar;2012;10344,4
São Paulo;Mar;2012;1992,1
Amazonas;Terra;2013;4150,3
Maranhão;Terra;2013;1419,7
Ceará;Terra;2013;0,3
Ceará;Mar;2013;33,1
Rio Grande do Norte;Terra;2013;277,5
Rio Grande do Norte;Mar;2013;268,4
Alagoas;Terra;2013;499,5
Alagoas;Mar;2013;86,8
Sergipe;Terra;2013;93,0
Sergipe;Mar;2013;963,7
Bahia;Terra;2013;989,9
Bahia;Mar;2013;2183,0
Espírito Santo;Terra;2013;81,8
Espírito Santo;Mar;2013;4333,5
Rio de Janeiro;Mar;2013;10005,8
São Paulo;Mar;2013;2787,8
