Naive Bayes,Árvore,Random Forest,Regras,kNN,Logística,SVM,RNA
0.5938,0.9250,0.9375,,0.9375,0.5938,0.6563,0.6563
0.5938,0.9313,0.9375,,0.9375,0.5875,0.6688,0.6688
0.5750,0.9375,0.9563,,0.9563,0.5625,0.6313,0.6313
0.5875,0.9563,0.9563,,0.9563,0.5625,0.6250,0.6250
0.5813,0.9188,0.9563,,0.9563,0.5813,0.6313,0.6313
0.6063,0.9063,0.9500,,0.9500,0.5688,0.6500,0.6500
0.6000,0.9000,0.9625,,0.9625,0.5688,0.6188,0.6188
0.6063,0.9188,0.9438,,0.9438,0.5875,0.6438,0.6438
0.6000,0.9313,0.9563,,0.9563,0.5938,0.6375,0.6375
0.6063,0.9250,0.9625,,0.9625,0.5875,0.6188,0.6188
0.6000,0.9313,0.9500,,0.9500,0.5750,0.6188,0.6188
0.5938,0.9250,0.9563,,0.9563,0.5875,0.6375,0.6375
0.6063,0.9250,0.9625,,0.9625,0.5875,0.6750,0.6750
0.6000,0.9250,0.9625,,0.9625,0.5750,0.6500,0.6500
0.5938,0.9250,0.9438,,0.9438,0.5875,0.6500,0.6500
0.5750,0.9250,0.9563,,0.9563,0.5875,0.6375,0.6375
0.6000,0.9313,0.9625,,0.9625,0.5750,0.6563,0.6563
0.5688,0.9188,0.9438,,0.9438,0.5813,0.6625,0.6625
0.5938,0.9125,0.9375,,0.9375,0.5750,0.6438,0.6438
0.5625,0.9313,0.9500,,0.9500,0.5938,0.6375,0.6375
0.6000,0.9313,0.9563,,0.9563,0.5875,0.6563,0.6563
0.6000,0.9188,0.9563,,0.9563,0.5750,0.6375,0.6375
0.5938,0.9250,0.9563,,0.9563,0.5875,0.6188,0.6188
0.5750,0.9250,0.9500,,0.9500,0.5813,0.6500,0.6500
0.6063,0.9500,0.9563,,0.9563,0.5750,0.6625,0.6625
0.6125,0.9250,0.9563,,0.9563,0.5938,0.6500,0.6500
0.6000,0.9375,0.9500,,0.9500,0.5938,0.6375,0.6375
0.6000,0.9188,0.9688,,0.9688,0.6000,0.6688,0.6688
0.5938,0.9063,0.9313,,0.9313,0.5750,0.6688,0.6688
0.6063,0.9438,0.9563,,0.9563,0.5875,0.6438,0.6438
